电影名称,上映年份,上映日期,档期类型,总票房(亿),预测票房(亿),票房预测偏差(亿),豆瓣评分,导演,主演,排片率(%),抖音话题播放量(亿),是否含流量演员,模型MAE（平均绝对误差）,模型RMSE（均方根误差）,模型R2（拟合优度）
满江红1（动作·2023）,2023,2023/10/23,普通档,3.25,22.283155,19.03315544,6.6,郭帆,"吴京,周冬雨,刘德华,雷佳音",13.93,18.17,1,20.7962,39.4878,0.3103
悬崖之上3（剧情·2025）,2025,2025/6/7,普通档,83.53,36.626564,46.90343597,8.1,徐峥,"徐峥,黄渤,易烊千玺",5.11,9.19,1,20.7962,39.4878,0.3103
万里归途7（悬疑·2024）,2024,2024/9/18,普通档,134.92,21.688446,113.231554,6.3,徐克,"徐峥,刘德华,张译,吴京",25.3,125.38,1,20.7962,39.4878,0.3103
怒火5（喜剧·2020）,2020,2020/12/17,普通档,13.9,21.606857,7.7068573,5.2,沈腾,"刘昊然,黄渤",14.42,148.13,1,20.7962,39.4878,0.3103
功夫6（战争·2021）,2021,2021/5/22,普通档,21.56,19.060682,2.499317703,6.7,林超贤,"徐峥,张译",57.02,45.51,1,20.7962,39.4878,0.3103
封神3（科幻·2023）,2023,2023/6/16,普通档,47.87,87.660965,39.79096497,7.8,杜琪峰,"王宝强,徐峥,吴京",16.09,102.43,1,20.7962,39.4878,0.3103
扫毒9（悬疑·2025）,2025,2025/8/15,暑期档,2.71,16.614737,13.90473656,6.8,张艺谋,"雷佳音,吴京",6.03,11.64,1,20.7962,39.4878,0.3103
狙击手2（科幻·2025）,2025,2025/5/5,普通档,56.16,19.99755,36.16245094,5.5,王家卫,"沈腾,易烊千玺,刘德华",31.15,17.25,1,20.7962,39.4878,0.3103
扫毒2（战争·2020）,2020,2020/2/11,普通档,0.24,13.277236,13.03723598,7.5,贾玲,"沈腾,徐峥,易烊千玺",47.63,295.7,1,20.7962,39.4878,0.3103
战狼7（科幻·2022）,2022,2022/6/17,普通档,1.24,27.81203,26.57203079,7.5,冯小刚,"章子怡,吴京",9.76,82.05,1,20.7962,39.4878,0.3103
悬崖之上（战争·2022）,2022,2022/6/23,普通档,21.04,29.057417,8.017416916,6.8,杜琪峰,"黄渤,易烊千玺",15.26,5.12,1,20.7962,39.4878,0.3103
战狼7（爱情·2020）,2020,2020/9/9,普通档,8.13,21.130648,13.00064766,6.7,郭帆,"周冬雨,吴京",21.71,96.35,1,20.7962,39.4878,0.3103
满江红3（动画·2021）,2021,2021/4/4,普通档,350.28,33.801323,316.4786771,7.5,吴京,"雷佳音,吴京,章子怡",52.31,5.55,1,20.7962,39.4878,0.3103
水门桥9（剧情·2022）,2022,2022/2/5,春节档,42.44,27.20801,15.23199028,6.9,吴京,"王宝强,刘昊然,徐峥",51.89,19.52,1,20.7962,39.4878,0.3103
奇迹2（科幻·2020）,2020,2020/7/28,暑期档,35.82,44.920715,9.100715332,6.9,冯小刚,"章子怡,刘昊然,贾玲,沈腾",47.27,26.57,1,20.7962,39.4878,0.3103
流浪地球（剧情·2020）,2020,2020/1/10,普通档,11.78,21.25616,9.476160736,8,宁浩,"雷佳音,张译",27.22,11.8,1,20.7962,39.4878,0.3103
飞驰人生1（动作·2022）,2022,2022/3/9,普通档,4.45,24.376629,19.92662888,7.2,郭帆,"王宝强,吴京,刘昊然",21.65,52.23,1,20.7962,39.4878,0.3103
长津湖4（动作·2025）,2025,2025/8/5,暑期档,1.72,19.252382,17.53238228,7.1,贾玲,"贾玲,章子怡",42.9,148.27,1,20.7962,39.4878,0.3103
你好李焕英9（动画·2020）,2020,2020/12/22,普通档,22.83,8.084919,14.74508102,5.4,陈凯歌,"沈腾,贾玲,王宝强",56.52,151.48,1,20.7962,39.4878,0.3103
悬崖之上3（爱情·2022）,2022,2022/5/22,普通档,77.6,22.136106,55.46389351,7.6,徐峥,"吴京,刘德华,沈腾,王宝强",22.32,6.31,1,20.7962,39.4878,0.3103
唐探6（喜剧·2023）,2023,2023/5/9,普通档,41.9,23.578878,18.3211216,6.3,徐克,"刘昊然,贾玲",18.7,3.54,1,20.7962,39.4878,0.3103
万里归途8（科幻·2020）,2020,2020/1/18,普通档,6.02,22.1733,16.15329979,6.8,宁浩,"沈腾,沈腾",14.62,16.11,1,20.7962,39.4878,0.3103
无名6（喜剧·2021）,2021,2021/11/4,普通档,7.14,29.068012,21.92801224,7.3,郭帆,章子怡,15.13,33.69,1,20.7962,39.4878,0.3103
叶问（科幻·2021）,2021,2021/5/10,普通档,132.32,51.86663,80.45336945,7.5,宁浩,"章子怡,刘德华,周冬雨",19.6,135.63,1,20.7962,39.4878,0.3103
长津湖8（悬疑·2021）,2021,2021/7/5,暑期档,1.45,26.36417,24.91417007,6.9,徐克,"吴京,易烊千玺,刘德华",15.18,6.19,1,20.7962,39.4878,0.3103
无名2（悬疑·2024）,2024,2024/8/12,暑期档,3.35,12.833255,9.483254814,6.9,陈凯歌,"刘德华,易烊千玺,张译",16.66,120.95,1,20.7962,39.4878,0.3103
满江红1（战争·2020）,2020,2020/11/3,普通档,1.38,20.761747,19.38174736,7.5,周星驰,"吴京,王宝强",27.82,74.87,1,20.7962,39.4878,0.3103
奇迹7（战争·2020）,2020,2020/9/3,普通档,4.9,20.240738,15.34073792,6.6,沈腾,"易烊千玺,贾玲",46.67,54.48,1,20.7962,39.4878,0.3103
水门桥（动画·2021）,2021,2021/1/20,普通档,13.86,16.504665,2.644665375,5.8,张艺谋,章子怡,5.6,26.28,1,20.7962,39.4878,0.3103
封神3（动画·2022）,2022,2022/6/27,普通档,90.36,24.40868,65.95132004,7.1,杜琪峰,"刘德华,徐峥,吴京",26.69,14.13,1,20.7962,39.4878,0.3103
唐探（剧情·2022）,2022,2022/3/17,普通档,30.56,16.19962,14.36038071,6.2,徐克,"黄渤,吴京",7.56,0.89,1,20.7962,39.4878,0.3103
飞驰人生9（爱情·2022）,2022,2022/3/1,普通档,5.72,24.575533,18.85553291,7.2,王家卫,"周冬雨,王宝强,徐峥",50.17,184.81,1,20.7962,39.4878,0.3103
流浪地球1（科幻·2021）,2021,2021/10/24,普通档,27.17,18.049906,9.120094223,5.5,吴京,"沈腾,张译",30.79,79.72,1,20.7962,39.4878,0.3103
扫毒（动画·2022）,2022,2022/10/15,普通档,1.57,19.900755,18.33075493,5.9,杜琪峰,"黄渤,沈腾,刘昊然,贾玲",41.05,3.71,1,20.7962,39.4878,0.3103
你好李焕英7（喜剧·2024）,2024,2024/12/20,普通档,4.38,19.723389,15.34338867,7.4,林超贤,"刘昊然,吴京,张译,黄渤",51.62,116.89,1,20.7962,39.4878,0.3103
奇迹（悬疑·2020）,2020,2020/8/9,暑期档,20.01,28.317719,8.307718506,8.5,张艺谋,"刘昊然,吴京,徐峥,张译",53.48,89.45,1,20.7962,39.4878,0.3103
流浪地球1（动画·2025）,2025,2025/4/13,普通档,72.06,24.371727,47.68827301,7.9,吴京,章子怡,55.94,24.19,1,20.7962,39.4878,0.3103
你好李焕英（科幻·2021）,2021,2021/10/25,普通档,13.86,19.44767,5.587669983,5.5,林超贤,"沈腾,易烊千玺",6.67,91.37,1,20.7962,39.4878,0.3103
误杀8（剧情·2020）,2020,2020/8/3,暑期档,1.58,14.2481365,12.66813652,6.6,陈凯歌,贾玲,16.86,0.98,1,20.7962,39.4878,0.3103
封神5（科幻·2025）,2025,2025/10/3,国庆档,17.43,34.298325,16.86832458,6.1,贾玲,沈腾,27.46,14.31,1,20.7962,39.4878,0.3103
封神3（动画·2023）,2023,2023/8/23,暑期档,24.12,17.902288,6.217711563,8.9,宁浩,"易烊千玺,吴京,周冬雨,章子怡",38.95,8.99,1,20.7962,39.4878,0.3103
万里归途（动画·2025）,2025,2025/11/8,普通档,1.96,22.32838,20.36838058,6.3,冯小刚,"刘昊然,吴京,易烊千玺,周冬雨",14.09,1570.77,1,20.7962,39.4878,0.3103
叶问8（剧情·2021）,2021,2021/12/30,普通档,1.96,21.226322,19.26632217,8.4,吴京,"周冬雨,章子怡,易烊千玺",41.65,5.05,1,20.7962,39.4878,0.3103
战狼5（爱情·2021）,2021,2021/8/6,暑期档,22.17,21.937298,0.232702179,9.2,杜琪峰,吴京,11.68,0.14,1,20.7962,39.4878,0.3103
美人鱼7（战争·2022）,2022,2022/7/1,暑期档,14.87,17.549002,2.679001694,8.9,周星驰,王宝强,7.48,40.13,1,20.7962,39.4878,0.3103
无名（动画·2021）,2021,2021/3/13,普通档,5.9,18.991873,13.09187279,7.8,王家卫,徐峥,57.96,0.58,1,20.7962,39.4878,0.3103
水门桥1（战争·2023）,2023,2023/6/25,普通档,1.48,26.13553,24.65553047,7,张艺谋,"周冬雨,易烊千玺,王宝强,沈腾",19.53,399.25,1,20.7962,39.4878,0.3103
叶问1（科幻·2023）,2023,2023/11/28,普通档,6.03,16.81644,10.78644058,7.3,林超贤,"王宝强,吴京,刘昊然",36.81,0.44,1,20.7962,39.4878,0.3103
狙击手（战争·2020）,2020,2020/10/6,国庆档,0.67,37.105072,36.43507202,7,杜琪峰,"黄渤,吴京",16.07,247.07,1,20.7962,39.4878,0.3103
封神5（爱情·2020）,2020,2020/7/5,暑期档,17.26,18.184843,0.924843063,6.9,林超贤,"徐峥,周冬雨,贾玲,沈腾",39.09,109.14,1,20.7962,39.4878,0.3103
封神8（剧情·2021）,2021,2021/10/14,普通档,76.98,21.787188,55.19281242,7.6,林超贤,"沈腾,吴京,雷佳音,易烊千玺",57.42,116.16,1,20.7962,39.4878,0.3103
长津湖4（喜剧·2025）,2025,2025/12/16,普通档,301.1,138.97394,162.126062,7.3,徐峥,易烊千玺,49.94,795.74,1,20.7962,39.4878,0.3103
怒火3（科幻·2021）,2021,2021/4/3,普通档,7.93,20.313038,12.38303787,8.6,郭帆,"吴京,易烊千玺,王宝强,刘昊然",17.54,64.76,1,20.7962,39.4878,0.3103
长津湖9（爱情·2025）,2025,2025/6/12,普通档,1,13.231358,12.23135757,7,周星驰,"易烊千玺,沈腾,吴京",59.95,104.32,1,20.7962,39.4878,0.3103
人生大事6（喜剧·2022）,2022,2022/1/24,春节档,0.92,25.342295,24.42229469,5.2,陈凯歌,"沈腾,刘昊然,徐峥",57.23,412.69,1,20.7962,39.4878,0.3103
飞驰人生（科幻·2024）,2024,2024/11/20,普通档,59.95,28.775068,31.17493172,5.4,沈腾,张译,19.19,42.6,1,20.7962,39.4878,0.3103
无名2（喜剧·2023）,2023,2023/12/15,普通档,7.55,12.792369,5.242368889,5.7,沈腾,"吴京,黄渤,沈腾,张译",50.88,8.23,1,20.7962,39.4878,0.3103
狙击手9（战争·2020）,2020,2020/3/16,普通档,21.37,27.332008,5.962008362,6.1,周星驰,"雷佳音,吴京,张译,沈腾",53.63,39.49,1,20.7962,39.4878,0.3103
满江红5（剧情·2021）,2021,2021/12/20,普通档,11.31,20.683151,9.373151245,6,吴京,"易烊千玺,周冬雨",35.61,9.15,1,20.7962,39.4878,0.3103
叶问3（动作·2021）,2021,2021/11/23,普通档,20.04,22.89945,2.859450302,6.9,陈思诚,"刘德华,沈腾",27.07,61.62,1,20.7962,39.4878,0.3103
奇迹4（战争·2022）,2022,2022/6/22,普通档,9.52,18.697714,9.177713852,4.1,周星驰,"刘昊然,黄渤,王宝强,沈腾",28.75,97.84,1,20.7962,39.4878,0.3103
唐探9（战争·2022）,2022,2022/3/12,普通档,20.43,22.452106,2.022106476,7.5,贾玲,"刘昊然,吴京,周冬雨",13.86,11.17,1,20.7962,39.4878,0.3103
飞驰人生5（战争·2025）,2025,2025/7/26,暑期档,3.53,16.499962,12.96996185,5.9,徐峥,易烊千玺,32.48,8.56,1,20.7962,39.4878,0.3103
功夫4（动画·2020）,2020,2020/8/18,暑期档,5.88,16.437227,10.55722725,4.6,林超贤,"张译,王宝强,刘德华",57.92,148.87,1,20.7962,39.4878,0.3103
四海（剧情·2024）,2024,2024/11/27,普通档,39.66,22.11507,17.54492966,7.2,冯小刚,"王宝强,张译,吴京",14.7,13.29,1,20.7962,39.4878,0.3103
狙击手4（动作·2023）,2023,2023/7/10,暑期档,1.45,17.685055,16.23505478,6.6,郭帆,周冬雨,7.7,15.62,1,20.7962,39.4878,0.3103
封神5（喜剧·2024）,2024,2024/5/10,普通档,27.6,19.090237,8.509763336,7.1,宁浩,贾玲,13.31,7.11,1,20.7962,39.4878,0.3103
热辣滚烫（喜剧·2021）,2021,2021/12/25,普通档,1.84,11.139909,9.299908791,7.6,郭帆,"沈腾,张译,周冬雨,吴京",51.81,4434.29,1,20.7962,39.4878,0.3103
奇迹1（动作·2025）,2025,2025/1/24,春节档,9.79,15.223848,5.433848343,8.3,沈腾,"周冬雨,沈腾",41.89,21.68,1,20.7962,39.4878,0.3103
水门桥（剧情·2024）,2024,2024/1/20,普通档,0.82,18.792109,17.97210854,8.3,张艺谋,"吴京,张译,沈腾",39.24,2.72,1,20.7962,39.4878,0.3103
流浪地球3（爱情·2023）,2023,2023/3/30,普通档,0.24,23.630507,23.39050652,8.8,沈腾,易烊千玺,26.17,14.78,1,20.7962,39.4878,0.3103
飞驰人生（喜剧·2022）,2022,2022/7/1,暑期档,1.52,34.21108,32.69107864,6.4,沈腾,"易烊千玺,王宝强,张译,沈腾",21.19,11.43,1,20.7962,39.4878,0.3103
叶问8（战争·2025）,2025,2025/10/23,普通档,53.35,124.500854,71.15085449,5.7,周星驰,周冬雨,26.93,3.19,1,20.7962,39.4878,0.3103
怒火（战争·2021）,2021,2021/4/24,普通档,1.69,15.659435,13.96943527,7.2,陈凯歌,雷佳音,35.8,23.42,1,20.7962,39.4878,0.3103
西游6（悬疑·2021）,2021,2021/1/16,普通档,3.84,17.365732,13.52573219,4.8,王家卫,雷佳音,23.72,6.55,1,20.7962,39.4878,0.3103
美人鱼（动作·2021）,2021,2021/1/28,普通档,0.27,15.307944,15.0379443,6,徐克,"吴京,雷佳音",56.06,11.99,1,20.7962,39.4878,0.3103
封神4（动作·2020）,2020,2020/3/4,普通档,51.4,24.134459,27.26554146,7.8,王家卫,"王宝强,徐峥,章子怡,黄渤",38.27,60.98,1,20.7962,39.4878,0.3103
怒火8（动作·2025）,2025,2025/8/12,暑期档,33.35,14.589071,18.76092873,6.9,王家卫,"吴京,周冬雨,刘德华,徐峥",22.73,96.27,1,20.7962,39.4878,0.3103
满江红5（战争·2021）,2021,2021/2/13,普通档,4.59,22.515675,17.92567459,4.4,陈思诚,"王宝强,吴京",31.73,2.76,1,20.7962,39.4878,0.3103
狙击手（爱情·2021）,2021,2021/5/4,普通档,25.43,23.282331,2.147668533,9.3,陈凯歌,"周冬雨,章子怡,张译,吴京",56.58,55.43,1,20.7962,39.4878,0.3103
叶问9（剧情·2022）,2022,2022/11/26,普通档,5.77,17.165155,11.39515541,8.1,吴京,吴京,20.48,26.99,1,20.7962,39.4878,0.3103
封神6（科幻·2021）,2021,2021/2/16,普通档,8.25,22.613396,14.36339569,9.2,沈腾,"吴京,章子怡,张译,周冬雨",34.5,26.1,1,20.7962,39.4878,0.3103
无名（科幻·2024）,2024,2024/6/23,普通档,3.18,17.183754,14.00375397,7.7,杜琪峰,吴京,41,102.53,1,20.7962,39.4878,0.3103
万里归途6（剧情·2022）,2022,2022/10/4,国庆档,223.48,149.0365,74.44350098,4.2,沈腾,"周冬雨,雷佳音,吴京",29.73,51.09,1,20.7962,39.4878,0.3103
美人鱼4（悬疑·2022）,2022,2022/7/30,暑期档,19.11,31.401245,12.29124512,6.7,王家卫,"易烊千玺,吴京,刘德华",14.7,139.45,1,20.7962,39.4878,0.3103
水门桥6（剧情·2023）,2023,2023/9/21,普通档,0.54,21.226246,20.68624588,7.4,沈腾,"易烊千玺,章子怡,周冬雨,吴京",45.32,14.97,1,20.7962,39.4878,0.3103
唐探1（剧情·2022）,2022,2022/2/6,春节档,22.53,17.253504,5.276496201,4.6,吴京,"贾玲,张译,沈腾,刘昊然",7.75,2.07,1,20.7962,39.4878,0.3103
扫毒9（喜剧·2022）,2022,2022/3/2,普通档,9.96,20.325848,10.36584763,6.2,张艺谋,"易烊千玺,雷佳音",47.41,41.17,1,20.7962,39.4878,0.3103
封神5（剧情·2022）,2022,2022/10/26,普通档,51.3,18.03729,33.26270943,7.8,林超贤,"吴京,沈腾,雷佳音",20.18,12.39,1,20.7962,39.4878,0.3103
唐探9（科幻·2022）,2022,2022/8/30,暑期档,0.74,25.249409,24.50940872,7,王家卫,"贾玲,雷佳音",19.63,450.32,1,20.7962,39.4878,0.3103
怒火1（战争·2024）,2024,2024/10/30,普通档,523.17,56.663246,466.5067538,6.2,王家卫,"徐峥,贾玲,沈腾,张译",23.51,132.37,1,20.7962,39.4878,0.3103
唐探（悬疑·2020）,2020,2020/5/16,普通档,20.57,28.510408,7.940408401,6.3,林超贤,"徐峥,章子怡",58.81,1.59,1,20.7962,39.4878,0.3103
扫毒（科幻·2021）,2021,2021/9/24,普通档,94.01,30.353687,63.65631271,7.2,王家卫,"吴京,张译,雷佳音,沈腾",29.9,365.15,1,20.7962,39.4878,0.3103
功夫（剧情·2020）,2020,2020/12/5,普通档,0.95,29.271263,28.32126312,6.5,陈思诚,"雷佳音,吴京,刘昊然",21.83,16.54,1,20.7962,39.4878,0.3103
水门桥5（悬疑·2023）,2023,2023/1/27,春节档,34.79,18.466866,16.32313446,6.3,宁浩,"张译,易烊千玺,雷佳音,章子怡",27.78,143.46,1,20.7962,39.4878,0.3103
战狼6（战争·2023）,2023,2023/7/25,暑期档,3.81,23.215658,19.40565819,6.7,王家卫,"黄渤,吴京",12.62,2.09,1,20.7962,39.4878,0.3103
你好李焕英（喜剧·2020）,2020,2020/12/25,普通档,9.34,19.717453,10.377453,7.8,王家卫,"雷佳音,易烊千玺,王宝强,黄渤",28.39,8.69,1,20.7962,39.4878,0.3103
误杀5（动作·2025）,2025,2025/7/21,暑期档,2.48,43.48986,41.00986053,7.6,张艺谋,"王宝强,沈腾,张译,易烊千玺",53.43,57.96,1,20.7962,39.4878,0.3103
无名4（爱情·2025）,2025,2025/5/19,普通档,5.18,39.188934,34.00893433,8.4,贾玲,"黄渤,沈腾,贾玲,刘昊然",48.66,19.02,1,20.7962,39.4878,0.3103
你好李焕英7（科幻·2021）,2021,2021/4/18,普通档,8.13,23.387245,15.25724518,7.4,徐克,"吴京,张译",21.75,66.42,1,20.7962,39.4878,0.3103
封神9（动画·2021）,2021,2021/12/27,普通档,8.34,18.94764,10.60763947,5.2,宁浩,"刘昊然,刘德华,易烊千玺",20.25,225.89,1,20.7962,39.4878,0.3103
奇迹（科幻·2024）,2024,2024/3/13,普通档,12.33,28.452667,16.12266724,6.6,冯小刚,徐峥,12.89,2.02,1,20.7962,39.4878,0.3103
四海2（爱情·2025）,2025,2025/7/24,暑期档,113.85,16.402124,97.4478756,7.6,宁浩,"章子怡,沈腾,吴京,刘德华",33.98,72.87,1,20.7962,39.4878,0.3103
悬崖之上（动作·2022）,2022,2022/9/3,普通档,2.53,30.08055,27.55054924,6.8,徐峥,"张译,王宝强",44.47,5.53,1,20.7962,39.4878,0.3103
战狼5（剧情·2024）,2024,2024/4/8,普通档,4.81,21.650057,16.84005684,7.8,杜琪峰,王宝强,52.37,7.35,1,20.7962,39.4878,0.3103
无名9（科幻·2023）,2023,2023/4/6,普通档,25.19,27.085146,1.89514595,6.5,陈思诚,"雷佳音,章子怡,刘德华",15.28,120.46,1,20.7962,39.4878,0.3103
悬崖之上3（动画·2020）,2020,2020/1/21,春节档,4.42,38.001705,33.58170517,5.5,徐峥,"章子怡,沈腾",15.48,29.39,1,20.7962,39.4878,0.3103
飞驰人生3（动作·2021）,2021,2021/7/20,暑期档,9.62,21.610544,11.9905442,8.1,周星驰,"易烊千玺,徐峥",31.55,2.4,1,20.7962,39.4878,0.3103
长津湖1（爱情·2023）,2023,2023/11/4,普通档,1.93,19.666212,17.73621208,4.5,杜琪峰,"徐峥,刘昊然,王宝强",6.05,39.68,1,20.7962,39.4878,0.3103
美人鱼4（剧情·2021）,2021,2021/2/26,普通档,1.04,10.296482,9.256482086,9.3,陈凯歌,"刘德华,贾玲",31.21,410.05,1,20.7962,39.4878,0.3103
怒火7（战争·2022）,2022,2022/11/23,普通档,4.15,22.699886,18.54988632,6,林超贤,张译,25.52,719.78,1,20.7962,39.4878,0.3103
误杀3（科幻·2022）,2022,2022/4/6,普通档,49.44,23.883617,25.5563826,5.6,陈思诚,黄渤,27.28,55.93,1,20.7962,39.4878,0.3103
战狼4（剧情·2025）,2025,2025/1/20,普通档,12.65,16.660973,4.010972595,7.8,徐克,"沈腾,张译,王宝强",31.19,5.65,1,20.7962,39.4878,0.3103
飞驰人生（悬疑·2020）,2020,2020/5/17,普通档,45.56,26.524136,19.03586441,5.4,王家卫,"沈腾,章子怡,王宝强",14.53,27.28,1,20.7962,39.4878,0.3103
你好李焕英6（动作·2024）,2024,2024/12/9,普通档,0.84,20.274506,19.43450562,7.2,张艺谋,"雷佳音,黄渤,沈腾",40.61,114.85,1,20.7962,39.4878,0.3103
无名（爱情·2021）,2021,2021/12/9,普通档,6.8,21.929861,15.12986107,5.8,徐克,易烊千玺,29.97,23.32,1,20.7962,39.4878,0.3103
万里归途5（悬疑·2021）,2021,2021/11/15,普通档,0.42,19.458105,19.03810509,7.5,郭帆,"易烊千玺,王宝强,沈腾,徐峥",53.98,252.07,1,20.7962,39.4878,0.3103
功夫（科幻·2022）,2022,2022/1/29,普通档,40.86,24.766655,16.09334503,7.2,王家卫,"刘昊然,易烊千玺,沈腾,周冬雨",44.83,134.24,1,20.7962,39.4878,0.3103
怒火8（剧情·2025）,2025,2025/10/15,普通档,10.86,19.10245,8.242449417,7.7,沈腾,"张译,雷佳音",32.56,65.58,1,20.7962,39.4878,0.3103
西游9（喜剧·2021）,2021,2021/9/11,普通档,31.12,24.315113,6.804886932,5.9,陈思诚,"吴京,吴京,刘昊然",26.02,97.96,1,20.7962,39.4878,0.3103
西游6（科幻·2025）,2025,2025/9/18,普通档,1.78,21.62043,19.84042999,7.6,张艺谋,"张译,沈腾,周冬雨",23.8,189.99,1,20.7962,39.4878,0.3103
满江红3（悬疑·2025）,2025,2025/8/3,暑期档,28.03,21.751013,6.278987198,8.7,陈凯歌,"易烊千玺,沈腾,徐峥,刘德华",48.62,12.37,1,20.7962,39.4878,0.3103
奇迹（战争·2022）,2022,2022/5/5,普通档,2.66,21.556738,18.8967379,5.9,宁浩,"章子怡,徐峥",21.78,127.4,1,20.7962,39.4878,0.3103
